,house_name,host_name,host_is_super,host_image,address,latitude,longitude,room_type,bath_count,bed_room_count,bed_count,original_price,sale_price,cleaning_fee,review_count,rate,adult_count,child_count,infant_count,guest_count
,VIEW QUEEN ANNE! - VINTAGE SEATTLE,Kevin,0,https://a2.muscache.com/ac/users/40335071/profile_pic/1439874792/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,12th Avenue West  Seattle  WA 98119  United States,47.63936210298090,-122.37240255654500,Entire home/apt,1,1,2,1500,1500,500,2,100,1,2,0,3
,Cute little Seattle Studio!,Ruth,1,https://a0.muscache.com/ac/users/2052160/profile_pic/1435721846/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Queen Anne Avenue North  Seattle  WA 98109  United States,47.6346162843086,-122.3580227325540,Entire home/apt,1,0,1,800,800,200,11,98,1,0,0,1
,Walker's Dream on Queen Anne Hill,Henry,0,https://a2.muscache.com/ac/users/21896205/profile_pic/1411957580/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,W. Crockett St.  Seattle  WA 98119  United States,47.63800137747850,-122.36100481691400,Entire home/apt,1,1,2,1100,1100,400,71,90,4,2,0,6
,DARLING VINTAGE COTTAGE  QUEEN ANNE,Debera,0,https://a1.muscache.com/ac/users/8242272/profile_pic/1385577467/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,-11th Ave. W.  Seattle  WA 98119  United States,47.63199585097700,-122.3716576650490,Entire home/apt,1,1,2,1480,1480,1000,9,91,3,1,1,5
,Modern Eco-Friendly View Retreat,Holly,0,https://a2.muscache.com/ac/users/2315558/profile_pic/1402002254/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,11th Avenue West  Seattle  WA 98119  United States,47.63868624334980,-122.37079986877500,Entire home/apt,1,2,2,3500,3500,1000,41,98,4,2,2,8
,Beautiful 1 Bedrm in Queen Anne,Nicole,1,https://a2.muscache.com/ac/users/17597607/profile_pic/1437414735/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,3rd Avenue West  Seattle  WA 98119  United States,47.633650043720500,-122.36044969320200,Entire home/apt,1,1,2,1500,1500,500,18,98,2,2,0,4
,One bedroom with Lounge,Sam,0,https://a1.muscache.com/ac/users/34392395/profile_pic/1440047542/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,1st Avenue North  Seattle  WA 98109  United States,47.63430017546050,-122.35705980444600,Private room,1,1,1,1500,1500,,9,100,1,0,0,1
,LOWER QUEEN ANNE STUDIO W/PATIO,Marina,0,https://a2.muscache.com/ac/pictures/7bb1e98f-c4ef-42e6-b0ce-a8ee6d8df14a.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Olympic Place  Seattle  WA 98119  United States,47.628343869748100,-122.36640542138000,Entire home/apt,1,0,1,1000,1000,,20,92,2,0,0,2
,Queen Anne Craftsman,Maureen,0,https://a2.muscache.com/ac/users/12867960/profile_pic/1397145384/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.63539394059410,-122.36899114110700,Entire home/apt,3,4,4,3490,3490,2000,0,,3,1,0,4
,Queen Anne Hill Craftsman studio,Jennifer,0,https://a1.muscache.com/ac/users/3502513/profile_pic/1442944039/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,3rd Avenue West  Seattle  WA 98119  United States,47.63803515893720,-122.36091010563600,Entire home/apt,1,0,1,1100,1100,500,3,100,2,0,0,2
,Craftsman House Near Everything,Christine,0,https://a0.muscache.com/ac/users/27606550/profile_pic/1426201034/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Boston Street  Seattle  WA 98119  United States,47.63933158548950,-122.36159942269500,Entire home/apt,1,1,2,1600,1600,550,1,100,2,1,1,4
,Seattle Backyard Cottage-Queen Anne,Annie,0,https://a1.muscache.com/ac/users/5856339/profile_pic/1413789611/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,6th Avenue West  Seattle  WA 98119  United States,47.635308051455400,-122.36653170901200,Entire home/apt,1,1,3,1300,1300,750,26,95,3,1,1,5
,:: Carriage House :: Queen Anne ::,Michael,0,https://a2.muscache.com/ac/users/40885963/profile_pic/1439062048/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.637374884138500,-122.36941092468900,Entire home/apt,1,0,1,990,990,500,2,100,1,2,0,3
,STUDIO APARTMENT WITH A VIEW,Anisa,0,https://a2.muscache.com/ac/pictures/dbe54617-333b-46ea-a1ee-8aec39f814e4.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,13th Avenue West  Seattle  WA 98119  United States,47.63829756707330,-122.37377871072100,Entire home/apt,1,0,1,1000,1000,400,0,,3,2,0,5
,Top Floor Apt. W/ Spectacular View!,Elise,0,https://a0.muscache.com/ac/users/3521823/profile_pic/1440619244/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.63175343884970,-122.37127173011600,Entire home/apt,1,1,1,1370,1370,200,3,100,1,1,1,3
,Cozy  cute  Queen Anne living,Ana,0,https://a2.muscache.com/ac/pictures/efa4c137-eb0c-4124-8bec-50fbfa64d4d1.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,14th Avenue West  Seattle  WA 98119  United States,47.63858056073180,-122.3753257408230,Private room,1,1,1,200,200,,0,,3,2,0,5
,Beautiful  Modern Townhouse,Manomi,0,https://a0.muscache.com/ac/users/1039322/profile_pic/1335979074/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,8th Avenue West  Seattle  WA 98119  United States,47.63788372174490,-122.3673710937780,Entire home/apt,1,1,1,1500,1500,500,0,,5,2,0,7
,Located in the heart of Queen Anne,Kurt & Anna,0,https://a2.muscache.com/ac/pictures/d18e5088-1613-4ec3-a068-3326658f190d.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,3rd Avenue West  Seattle  WA 98119  United States,47.63751734544930,-122.36081167446400,Entire home/apt,1,1,1,1450,1450,300,44,94,2,1,0,3
,Cozy room in Modern Queen Anne Home,Shiri,0,https://a1.muscache.com/ac/users/15155647/profile_pic/1442534699/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Gilman Drive West  Seattle  WA 98119  United States,47.63687417802140,-122.37227171191200,Private room,1,1,1,800,800,,10,100,2,0,2,4
,Stand alone Guest Cottage,Diane,1,https://a2.muscache.com/ac/users/12171359/profile_pic/1422150080/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,6th Avenue West  Seattle  WA 98119  United States,47.632562742655700,-122.36722284674100,Entire home/apt,1,0,1,950,950,600,77,98,4,2,1,7
,Beautiful West Queen Anne Craftsman,Irmela,0,https://a2.muscache.com/ac/users/23669617/profile_pic/1415829076/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,7th Avenue West  Seattle  WA 98119  United States,47.63532192210430,-122.36612114800700,Entire home/apt,2,3,3,4000,4000,1200,0,,1,0,2,3
,Bright & Airy room w/ 1M views,Zachary,0,https://a2.muscache.com/ac/pictures/4656114e-07da-4df4-abf9-4357bc6e24d3.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,9th Avenue West  Seattle  WA 98119  United States,47.63263390932940,-122.36931844777400,Private room,2,1,1,850,850,,2,100,3,0,0,3
,Private room in upper QA w/ view!,Elise,0,https://a0.muscache.com/ac/users/3521823/profile_pic/1440619244/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,10th Avenue West  Seattle  WA 98119  United States,47.63260003819550,-122.36995243412600,Private room,1,1,1,700,700,200,1,100,4,2,2,8
,Suite Garage on Queen Anne,Jean-Marc,1,https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,West Wheeler Street  Seattle  WA 98119  United States,47.64105215050510,-122.37508173306400,Entire home/apt,1,0,1,900,900,250,109,97,3,1,2,6
,Peaceful Queen Anne Getaway,Ruth,0,https://a2.muscache.com/ac/users/33524725/profile_pic/1432088062/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,9th Avenue West  Seattle  WA 98119  United States,47.63140094589970,-122.3676901333060,Private room,1,1,1,800,800,,52,92,5,0,2,7
,Hand crafted Gypsy Wagon with heart,Jean-Marc,1,https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,W Wheeler St  Seattle  WA 98119  United States,47.64152492560980,-122.37615037245100,Private room,1,1,2,600,600,250,191,97,4,2,2,8
,Cozy 2 BR/1 BA Queen Anne Home,Nell & Andreas,0,https://a2.muscache.com/ac/pictures/2aa92836-50ff-47d8-a6bb-8f66c802f7ad.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,5th Avenue West  Seattle  WA 98119  United States,47.635310702971800,-122.36350557505100,Entire home/apt,1,2,2,1750,1750,780,0,,5,1,0,6
,Modern Townhouse  Heart of Ballard!,Dina,0,https://a2.muscache.com/ac/users/2843411/profile_pic/1438027643/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,28th Ave NW  Seattle  WA 98107  United States,47.669327174719700,-122.39259356469400,Entire home/apt,2,3,4,1700,1700,1000,9,91,4,0,0,4
,Cozy Ballard Apartment,Kim,0,https://a0.muscache.com/ac/users/18232665/profile_pic/1408049343/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.674074155575400,-122.39386405032900,Entire home/apt,1,1,1,850,850,500,65,98,4,2,0,6
,Plum Modern - 5 bdrm Tranquility,Mercy,1,https://a0.muscache.com/ac/users/28770702/profile_pic/1425512645/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.67362807262790,-122.38930195133100,Entire home/apt,3,5,7,4650,4650,2500,5,96,2,2,0,4
,1BR-Ultra Hip Ballard-Walk to Bars!,Mckinzy,0,https://a2.muscache.com/ac/users/5326074/profile_pic/1381459117/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 56th Street  Seattle  WA 98107  United States,47.6684599605579,-122.37951599522200,Entire home/apt,1,1,1,1750,1750,500,5,96,4,0,1,5
,Cozy BR in heart of lively Ballard,Sophia,0,https://a2.muscache.com/ac/users/31887689/profile_pic/1429936982/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,NW 57th St  Seattle  WA 98107  United States,47.670662322939700,-122.37866592236700,Private room,1,1,1,500,500,,0,,4,1,2,7
,Modern  Cozy 1 Bedroom Apartment,Brooke,0,https://a2.muscache.com/ac/pictures/29397606-e0a2-4b32-81ab-0027a9671e00.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 59th Street  Seattle  WA 98107  United States,47.67264618041160,-122.38933302722600,Private room,1,1,1,600,600,,0,,1,1,1,3
,Urban cottage in heart of Ballard,Andrea,0,https://a2.muscache.com/ac/pictures/e42104c0-222f-4449-8d46-1c38d005d5d8.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.67317538409770,-122.38225959936200,Private room,1,1,1,590,590,120,16,93,3,1,1,5
,**Be in the MIDDLE OF EVERYTHING!*,Lauren,0,https://a2.muscache.com/ac/users/841009/profile_pic/1375854741/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest Market Street  Seattle  WA 98107  United States,47.66793300136610,-122.37865246762100,Private room,1,1,4,470,470,150,23,77,5,1,1,7
,Cute Cottage in Sunny Ballard,Fleur,0,https://a1.muscache.com/ac/users/6296335/profile_pic/1392253225/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,26th Avenue Northwest  Seattle  WA 98107  United States,47.67296864487420,-122.39733818247200,Entire home/apt,1,2,2,1450,1450,450,45,97,1,1,1,3
,Two blocks from downtown Ballard,Martin,0,https://a0.muscache.com/ac/users/1343908/profile_pic/1367632146/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,26th Avenue Northwest  Seattle  WA 98107  United States,47.66862741947890,-122.3894959253680,Private room,1,1,1,700,700,,75,94,4,0,2,6
,Cozy Private Room  Bath and Patio,Lisa,0,https://a1.muscache.com/ac/users/15473800/profile_pic/1405963632/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 56th Street  Seattle  WA 98107  United States,47.67011138347180,-122.39386928567700,Private room,1,1,1,550,550,250,86,94,4,0,1,5
,Ballard Artist's Studio,Patti And Benson,1,https://a1.muscache.com/ac/users/3587674/profile_pic/1347839725/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,NW 60th St  Seattle  WA 98107  United States,47.671690500882100,-122.38523906517400,Private room,1,1,2,950,950,300,151,97,4,2,1,7
,Historic Ballard House,Debra,0,https://a1.muscache.com/ac/users/21066328/profile_pic/1423696676/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 59th Street  Seattle  WA 98107  United States,47.67083617832090,-122.39253711071100,Private room,1,1,1,1250,1250,,6,92,4,2,1,7
,Nautical Bedroom in Modern House,Elin,0,https://a2.muscache.com/ac/users/23228606/profile_pic/1414896375/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 56th Street  Seattle  WA 98107  United States,47.67088677445990,-122.39302934993700,Private room,1,1,1,650,650,450,16,94,3,2,0,5
,Pull out couch in garage,Elin,0,https://a2.muscache.com/ac/users/23228606/profile_pic/1414896375/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 56th Street  Seattle  WA 98107  United States,47.67011497066790,-122.39299444305800,Private room,1,1,1,250,250,,0,,2,2,0,4
,Tiny Ballard House Near Transit,Alexis,0,https://a1.muscache.com/ac/users/811494/profile_pic/1310514226/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.67430793211150,-122.37674229799000,Entire home/apt,1,0,2,400,400,500,0,,5,2,1,8
,Bunkhouse Topbunk/Airstream Retreat,Chris,0,https://a1.muscache.com/ac/users/2231298/profile_pic/1383864263/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 60th Street  Seattle  WA 98107  United States,47.67125039125340,-122.38263911755700,Entire home/apt,1,3,4,1490,1490,,165,95,5,1,0,6
,Sweet Ballard Apartment for Two,Vera,1,https://a1.muscache.com/ac/users/7466082/profile_pic/1396149950/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 56th Street  Seattle  WA 98107  United States,47.6686920575291,-122.39608935555300,Entire home/apt,1,1,1,1250,1250,750,48,100,4,1,1,6
,Charming Old Ballard Bungalow (2/2),Brian,0,https://a2.muscache.com/ac/users/43954674/profile_pic/1441997555/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 60th Street  Seattle  WA 98107  United States,47.67180552427680,-122.38804711763300,Private room,0,1,1,550,550,,0,,5,2,1,8
,Ballard Victorian 900 sq ft apt,Bob,1,https://a1.muscache.com/ac/users/53050/profile_pic/1372934989/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Seattle  WA 98107  United States,47.671418402651000,-122.38538535838500,Entire home/apt,1,1,3,1290,1290,750,2,100,5,0,2,7
,One-bedroom Apartment  Ballard,Katharine,0,https://a0.muscache.com/ac/users/3781927/profile_pic/1374525388/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,22nd Avenue Northwest  Seattle  WA 98107  United States,47.66874895490850,-122.38386997628200,Entire home/apt,1,1,1,1000,1000,,0,,3,2,0,5
,Beautiful Ballard condo with view!,Paula,1,https://a2.muscache.com/ac/users/4970133/profile_pic/1402546779/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,24th Avenue Northwest  Seattle  WA 98107  United States,47.67268172430130,-122.38773072437900,Entire home/apt,2,2,2,1500,1500,,27,93,1,0,0,1
,Bedroom & private bath in Ballard,Daniel,0,https://a2.muscache.com/ac/pictures/8559781a-48a5-4463-8f08-e7bbb5197543.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 58th Street  Seattle  WA 98107  United States,47.669681845352200,-122.39098847061200,Private room,1,1,1,500,500,100,0,,3,2,1,6
,2 Bedrm Apt in the heart of Ballard,John And Alicia,0,https://a1.muscache.com/ac/users/2882219/profile_pic/1342637647/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 65th Street  Seattle  WA 98117  United States,47.675044037520800,-122.38271491715600,Entire home/apt,1,2,3,990,990,,0,,3,1,1,5
,Pretty Condo in Downtown Ballard,Dahlia,0,https://a2.muscache.com/ac/users/2317654/profile_pic/1336888530/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 57th Street  Seattle  WA 98107  United States,47.66797916893150,-122.38210544982800,Entire home/apt,1,1,1,1500,1500,600,9,98,3,0,1,4
,Loft bedroom & art studio,Brian,0,https://a2.muscache.com/ac/users/43954674/profile_pic/1441997555/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 60th Street  Seattle  WA 98107  United States,47.67324984968530,-122.38733165189300,Entire home/apt,1,1,3,1050,1050,,0,,1,1,0,2
,Chic 3 bed 4 bath Ballard townhome,Vivian,0,https://a1.muscache.com/ac/users/2034501/profile_pic/1333082966/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,NW 63rd St  Seattle  WA 98107  United States,47.67553326838630,-122.37632401407800,Entire home/apt,4,3,3,2180,2180,3000,0,,4,0,1,5
,Private  clean  spacious Townhome,Julien,0,https://a1.muscache.com/ac/users/19071753/profile_pic/1410803133/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,24th Avenue Northwest  Seattle  WA 98117  United States,47.675708114276100,-122.38755942597600,Entire home/apt,1,2,2,800,800,750,88,95,1,0,2,3
,Victorian Charm in Heart of Ballard,Beverly,0,https://a1.muscache.com/ac/users/35674639/profile_pic/1442301357/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 62nd Street  Seattle  WA 98107  United States,47.674771027028100,-122.38583049183900,Entire home/apt,1,1,1,1260,1260,950,10,98,2,0,1,3
,Modern Ballard Apt 4 Tech Travlers,Tim,0,https://a0.muscache.com/ac/users/24500821/profile_pic/1433263879/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest Market Street  Seattle  WA 98107  United States,47.669874319189500,-122.38771744417000,Entire home/apt,1,1,2,1150,1150,500,5,96,3,2,1,6
,Modern family home in Old Ballard,Martin And Taryn,0,https://a2.muscache.com/ac/users/205007/profile_pic/1284732593/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 58th Street  Seattle  WA 98107  United States,47.670975763542900,-122.38782530429900,Entire home/apt,2,2,2,2250,2250,750,10,98,4,0,1,5
,Cottage in the Heart of Ballard,Brad & Liz,1,https://a1.muscache.com/ac/users/79450/profile_pic/1441691205/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,NW 60th St  Seattle  WA 98107  United States,47.67333938829470,-122.39512028203800,Entire home/apt,1,1,1,890,890,100,244,97,3,0,2,5
,Ballard Townhome - Pet Friendly!,Sea To Sky Rentals,0,https://a2.muscache.com/ac/users/430709/profile_pic/1407448665/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,20th Ave NW and NW 59th St  Seattle  WA 98107  United States,47.67100488663870,-122.38138141804400,Entire home/apt,2,3,5,2250,2250,2640,1,100,1,1,0,2
,Ballard Cottage with Loft,Megan,0,https://a1.muscache.com/ac/users/13535511/profile_pic/1420667323/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.67170353055550,-122.37633810114100,Entire home/apt,1,0,1,500,500,,0,,5,0,2,7
,Plum Apartment,Mercy,1,https://a0.muscache.com/ac/users/28770702/profile_pic/1425512645/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.67175997191880,-122.39002012191000,Entire home/apt,1,1,2,1340,1340,1000,40,98,3,0,2,5
,Spacious Ballard Apt: Walk to All!,Emily,0,https://a0.muscache.com/ac/users/15785670/profile_pic/1421090499/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,24th Avenue Northwest  Seattle  WA 98107  United States,47.67481867247340,-122.38752123193500,Entire home/apt,1,1,1,750,750,1000,2,80,2,0,0,2
,Pvt. Entrance Bedroom&Bath-Ballard,Pallavi,0,https://a1.muscache.com/ac/users/34872403/profile_pic/1434440869/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 62nd Street  Seattle  WA 98107  United States,47.673004006803300,-122.38500476109100,Private room,1,1,1,650,650,,46,97,1,1,0,2
,Ballard Townhouse Near The Locks,Jean,0,https://a0.muscache.com/ac/users/33225983/profile_pic/1431470050/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,28th Avenue Northwest  Seattle  WA 98107  United States,47.670394534161600,-122.39389700139700,Entire home/apt,2,3,4,3750,3750,1000,23,96,2,0,2,4
,Ballard  Seattle Cozy Studio Apt.,Mario,1,https://a2.muscache.com/ac/users/8403307/profile_pic/1438234448/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 64th Street  Seattle  WA 98107  United States,47.67582151758450,-122.38971013062900,Entire home/apt,1,1,2,970,970,450,44,98,4,0,2,6
,Condo in Hip Ballard WALK,J.Lynn,1,https://a2.muscache.com/ac/pictures/dbcc5f6b-ca3d-43bc-8cbd-d31b7bdcb7e8.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 58th Street  Seattle  WA 98107  United States,47.67228446216900,-122.38231353832000,Entire home/apt,1,1,1,1450,1450,450,14,97,4,1,2,7
,Renovated 2 bedroom in old Ballard,Bob,1,https://a1.muscache.com/ac/users/53050/profile_pic/1372934989/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 60th Street  Seattle  WA 98107  United States,47.672272372442900,-122.38413221284100,Entire home/apt,1,2,4,1290,1290,750,12,100,2,0,2,4
,Large Home in Historical Ballard,Karen,0,https://a2.muscache.com/ac/users/25066447/profile_pic/1419193340/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 63rd Street  Seattle  WA 98107  United States,47.67575024473940,-122.37657992996300,Entire home/apt,1,3,4,1970,1970,1800,1,100,4,2,2,8
, Ballard Garden Apartment,Barbara,1,https://a2.muscache.com/ac/users/28375755/profile_pic/1428074446/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,Northwest 61st Street  Seattle  WA 98107  United States,47.67260212498740,-122.38844149131700,Entire home/apt,1,1,1,1200,1200,600,25,99,1,0,2,3
,Entire artist's  apt in hip hood,Ginny,1,https://a0.muscache.com/ac/users/15060417/profile_pic/1399734300/original.jpg?interpolation=lanczos-none&resize=225:*&output-format=jpg&output-quality=70,20th Avenue Northwest  Seattle  WA 98107  United States,47.66676678367040,-122.3812426518730,Entire home/apt,1,1,1,2000,2000,,35,95,1,1,1,3
